"Data de inicio dos sintomas";"Casos confirmados"
"Ignorado";"424"
"2020/01/01";"7"
"2020/01/02";"6"
"2020/01/03";"4"
"2020/01/04";"4"
"2020/01/05";"5"
"2020/01/06";"4"
"2020/01/07";"7"
"2020/01/08";"9"
"2020/01/09";"2"
"2020/01/10";"7"
"2020/01/12";"2"
"2020/01/13";"1"
"2020/01/14";"2"
"2020/01/15";"1"
"2020/01/16";"1"
"2020/01/18";"1"
"2020/01/20";"1"
"2020/01/21";"1"
"2020/01/23";"1"
"2020/01/24";"1"
"2020/01/25";"1"
"2020/01/26";"1"
"2020/01/27";"2"
"2020/01/28";"2"
"2020/01/29";"1"
"2020/01/30";"1"
"2020/01/31";"2"
"2020/02/01";"1"
"2020/02/02";"3"
"2020/02/03";"2"
"2020/02/04";"1"
"2020/02/05";"1"
"2020/02/06";"1"
"2020/02/07";"1"
"2020/02/09";"1"
"2020/02/12";"1"
"2020/02/13";"1"
"2020/02/15";"1"
"2020/02/16";"2"
"2020/02/17";"1"
"2020/02/18";"2"
"2020/02/19";"1"
"2020/02/20";"3"
"2020/02/22";"2"
"2020/02/23";"1"
"2020/02/25";"1"
"2020/02/26";"1"
"2020/02/28";"1"
"2020/02/29";"3"
"2020/03/01";"106"
"2020/03/02";"36"
"2020/03/03";"30"
"2020/03/04";"21"
"2020/03/05";"67"
"2020/03/06";"31"
"2020/03/07";"33"
"2020/03/08";"38"
"2020/03/09";"42"
"2020/03/10";"154"
"2020/03/11";"66"
"2020/03/12";"74"
"2020/03/13";"112"
"2020/03/14";"127"
"2020/03/15";"306"
"2020/03/16";"220"
"2020/03/17";"201"
"2020/03/18";"214"
"2020/03/19";"204"
"2020/03/20";"623"
"2020/03/21";"280"
"2020/03/22";"294"
"2020/03/23";"452"
"2020/03/24";"322"
"2020/03/25";"487"
"2020/03/26";"368"
"2020/03/27";"461"
"2020/03/28";"507"
"2020/03/29";"476"
"2020/03/30";"646"
"2020/03/31";"435"
"2020/04/01";"1114"
"2020/04/02";"804"
"2020/04/03";"806"
"2020/04/04";"934"
"2020/04/05";"1041"
"2020/04/06";"891"
"2020/04/07";"901"
"2020/04/08";"931"
"2020/04/09";"1145"
"2020/04/10";"1819"
"2020/04/11";"1113"
"2020/04/12";"1350"
"2020/04/13";"1592"
"2020/04/14";"1493"
"2020/04/15";"1953"
"2020/04/16";"1555"
"2020/04/17";"1609"
"2020/04/18";"1676"
"2020/04/19";"1454"
"2020/04/20";"3453"
"2020/04/21";"1616"
"2020/04/22";"2005"
"2020/04/23";"1913"
"2020/04/24";"2172"
"2020/04/25";"2193"
"2020/04/26";"1794"
"2020/04/27";"2257"
"2020/04/28";"4811"
"2020/04/29";"1819"
"2020/04/30";"2744"
"2020/05/01";"3689"
"2020/05/02";"1968"
"2020/05/03";"1681"
"2020/05/04";"2359"
"2020/05/05";"2940"
"2020/05/06";"1881"
"2020/05/07";"1849"
"2020/05/08";"2199"
"2020/05/09";"1652"
"2020/05/10";"3219"
"2020/05/11";"2023"
"2020/05/12";"1904"
"2020/05/13";"1859"
"2020/05/14";"1712"
"2020/05/15";"2890"
"2020/05/16";"1641"
"2020/05/17";"1528"
"2020/05/18";"2003"
"2020/05/19";"1636"
"2020/05/20";"2924"
"2020/05/21";"1646"
"2020/05/22";"1880"
"2020/05/23";"1319"
"2020/05/24";"1044"
"2020/05/25";"2294"
"2020/05/26";"1487"
"2020/05/27";"1679"
"2020/05/28";"1648"
"2020/05/29";"1707"
"2020/05/30";"1485"
"2020/05/31";"967"
"2020/06/01";"3024"
"2020/06/02";"1793"
"2020/06/03";"1768"
"2020/06/04";"1521"
"2020/06/05";"1711"
"2020/06/06";"1695"
"2020/06/07";"1081"
"2020/06/08";"1756"
"2020/06/09";"1460"
"2020/06/10";"2782"
"2020/06/11";"1150"
"2020/06/12";"1512"
"2020/06/13";"1196"
"2020/06/14";"1278"
"2020/06/15";"2438"
"2020/06/16";"1643"
"2020/06/17";"1407"
"2020/06/18";"1746"
"2020/06/19";"1552"
"2020/06/20";"2480"
"2020/06/21";"1134"
"2020/06/22";"1791"
"2020/06/23";"1681"
"2020/06/24";"1643"
"2020/06/25";"2001"
"2020/06/26";"2308"
"2020/06/27";"1505"
"2020/06/28";"1492"
"2020/06/29";"2014"
"2020/06/30";"2073"
"2020/07/01";"3054"
"2020/07/02";"1751"
"2020/07/03";"2394"
"2020/07/04";"1388"
"2020/07/05";"1374"
"2020/07/06";"2011"
"2020/07/07";"2115"
"2020/07/08";"1714"
"2020/07/09";"1615"
"2020/07/10";"2524"
"2020/07/11";"1722"
"2020/07/12";"1533"
"2020/07/13";"1654"
"2020/07/14";"1564"
"2020/07/15";"2220"
"2020/07/16";"1560"
"2020/07/17";"2130"
"2020/07/18";"1423"
"2020/07/19";"990"
"2020/07/20";"2306"
"2020/07/21";"1699"
"2020/07/22";"1496"
"2020/07/23";"1790"
"2020/07/24";"1432"
"2020/07/25";"1730"
"2020/07/26";"1284"
"2020/07/27";"1769"
"2020/07/28";"1685"
"2020/07/29";"1391"
"2020/07/30";"1561"
"2020/07/31";"1466"
"2020/08/01";"2334"
"2020/08/02";"1182"
"2020/08/03";"1710"
"2020/08/04";"1527"
"2020/08/05";"1662"
"2020/08/06";"1562"
"2020/08/07";"1685"
"2020/08/08";"1493"
"2020/08/09";"1186"
"2020/08/10";"2228"
"2020/08/11";"1608"
"2020/08/12";"1488"
"2020/08/13";"1665"
"2020/08/14";"1661"
"2020/08/15";"1457"
"2020/08/16";"1003"
"2020/08/17";"1633"
"2020/08/18";"1765"
"2020/08/19";"1343"
"2020/08/20";"1875"
"2020/08/21";"1341"
"2020/08/22";"925"
"2020/08/23";"949"
"2020/08/24";"1540"
"2020/08/25";"1673"
"2020/08/26";"1447"
"2020/08/27";"1367"
"2020/08/28";"1547"
"2020/08/29";"1117"
"2020/08/30";"1122"
"2020/08/31";"1518"
"2020/09/01";"2507"
"2020/09/02";"1843"
"2020/09/03";"1613"
"2020/09/04";"1526"
"2020/09/05";"1334"
"2020/09/06";"980"
"2020/09/07";"1380"
"2020/09/08";"1839"
"2020/09/09";"1735"
"2020/09/10";"2531"
"2020/09/11";"1524"
"2020/09/12";"1102"
"2020/09/13";"966"
"2020/09/14";"1562"
"2020/09/15";"1686"
"2020/09/16";"1234"
"2020/09/17";"1312"
"2020/09/18";"1394"
"2020/09/19";"893"
"2020/09/20";"1208"
"2020/09/21";"1342"
"2020/09/22";"1206"
"2020/09/23";"1073"
"2020/09/24";"1267"
"2020/09/25";"1520"
"2020/09/26";"1000"
"2020/09/27";"779"
"2020/09/28";"1283"
"2020/09/29";"1382"
"2020/09/30";"1320"
"2020/10/01";"1862"
"2020/10/02";"1321"
"2020/10/03";"914"
"2020/10/04";"892"
"2020/10/05";"1603"
"2020/10/06";"1256"
"2020/10/07";"1213"
"2020/10/08";"1173"
"2020/10/09";"1227"
"2020/10/10";"1634"
"2020/10/11";"861"
"2020/10/12";"1107"
"2020/10/13";"1449"
"2020/10/14";"1273"
"2020/10/15";"1643"
"2020/10/16";"1396"
"2020/10/17";"1197"
"2020/10/18";"1054"
"2020/10/19";"1544"
"2020/10/20";"2045"
"2020/10/21";"1296"
"2020/10/22";"1364"
"2020/10/23";"1469"
"2020/10/24";"1104"
"2020/10/25";"1406"
"2020/10/26";"1596"
"2020/10/27";"1537"
"2020/10/28";"1613"
"2020/10/29";"1540"
"2020/10/30";"1631"
"2020/10/31";"1229"
"2020/11/01";"2106"
"2020/11/02";"1680"
"2020/11/03";"2065"
"2020/11/04";"1921"
"2020/11/05";"2153"
"2020/11/06";"2172"
"2020/11/07";"1881"
"2020/11/08";"1890"
"2020/11/09";"2624"
"2020/11/10";"3134"
"2020/11/11";"2583"
"2020/11/12";"2626"
"2020/11/13";"2923"
"2020/11/14";"2637"
"2020/11/15";"3177"
"2020/11/16";"3695"
"2020/11/17";"3282"
"2020/11/18";"3459"
"2020/11/19";"3713"
"2020/11/20";"4734"
"2020/11/21";"3258"
"2020/11/22";"3380"
"2020/11/23";"4780"
"2020/11/24";"3909"
"2020/11/25";"4730"
"2020/11/26";"4125"
"2020/11/27";"4480"
"2020/11/28";"3995"
"2020/11/29";"3530"
"2020/11/30";"5625"
"2020/12/01";"6142"
"2020/12/02";"4690"
"2020/12/03";"4451"
"2020/12/04";"4501"
"2020/12/05";"4557"
"2020/12/06";"3747"
"2020/12/07";"4899"
"2020/12/08";"4231"
"2020/12/09";"4276"
"2020/12/10";"5325"
"2020/12/11";"4264"
"2020/12/12";"3899"
"2020/12/13";"3379"
"2020/12/14";"4320"
"2020/12/15";"4131"
"2020/12/16";"3322"
"2020/12/17";"3445"
"2020/12/18";"3782"
"2020/12/19";"2808"
"2020/12/20";"3357"
"2020/12/21";"3065"
"2020/12/22";"3025"
"2020/12/23";"3125"
"2020/12/24";"3024"
